EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
224.61,224.61,2,2666,373.544091463089,392921,0.8365397602319717,-0.035099983,0.049317054,0.0,-0.03695829,52.15176
244.59,244.59,2,2668,375.4260001182556,394921,0.8590234518051147,-0.05761385,0.0915334,0.0,-0.024431026,40.301117
254.58,254.58,2,2670,377.40149211883545,396921,0.7227030396461487,-0.067711234,0.024919512,0.0,-0.027159546,48.763718
255.61,255.61,2,2672,379.1350383758545,398921,0.7713687270879745,-0.07713185,0.078227736,0.0,-0.028448815,33.259686
275.59,275.59,2,2674,380.84754037857056,400921,0.6834281384944916,-0.076757535,0.032668795,0.0,-0.014459107,46.322235
295.57,295.57,2,2676,382.5943007469177,402921,0.7725367695093155,-0.08761692,0.13235861,0.0,-0.031746373,38.765007
315.55,315.55,2,2678,384.26245760917664,404921,0.7475783824920654,-0.094165415,0.029510876,0.0,-0.00809204,43.58316
326.28,326.28,2,2680,385.9798483848572,406921,0.7905279099941254,-0.11106825,0.14469674,0.0,-0.019774621,33.04519
346.26,346.26,2,2682,387.81495118141174,408921,0.713964194059372,-0.11238122,0.110079005,0.0,-0.014716579,45.65602
366.24,366.24,2,2684,389.6441857814789,410921,0.7881046533584595,-0.1181469,0.10823721,0.0,-0.02389294,39.664017
384.99,384.99,3,2687,391.4764106273651,412799,0.8014707863330841,-0.12099892,0.056110006,0.0,-0.023589645,38.757122
397.15,397.15,2,2689,393.3431751728058,414799,0.7411332726478577,-0.115591764,0.015344177,0.0,-0.020956503,38.254642
405.94,405.94,23,2712,395.3366641998291,417690,0.8605771064758301,-0.12580466,0.49996096,0.0,-0.0140674785,24.405739
425.92,425.92,2,2714,397.10656332969666,419690,0.5845260620117188,-0.12950706,0.038568236,0.0,-0.02580767,35.674885
425.78,425.78,9,2723,398.92968106269836,421624,0.5640349388122559,-0.12954801,0.028905384,0.0,-0.015263347,38.98778
445.34,445.34,7,2730,400.700567483902,423587,0.5261888802051544,-0.13082027,0.043311242,0.0,-0.027610041,46.50183
453.12,453.12,10,2740,402.55847120285034,425341,0.8521960824728012,-0.1375165,0.14266005,0.0,0.0066746688,23.761478
368.13,368.13,24,2764,404.77379536628723,427734,0.8207693547010422,-0.13692194,0.16728,0.0,-0.036026802,27.677177
246.36,246.36,14,2778,406.7455368041992,429557,0.9213826656341553,-0.13699985,0.009178033,0.0,-0.010503715,20.54217
154.31,154.31,24,2802,408.79157280921936,432112,0.915828637778759,-0.1420098,4.7502055,0.0,0.13182819,29.399153
122.74,122.74,15,2817,410.8224267959595,433892,0.9562029838562012,-0.14217329,0.05281484,0.0,-0.051786855,12.187412
110.09,110.09,16,2833,412.76272320747375,435556,0.958727240562439,-0.14224699,0.007369221,0.0,-0.00725866,11.459591
103.18,103.18,18,2851,414.6002962589264,437460,0.9573831558227539,-0.14236784,0.020188587,0.0,-0.033467364,12.7447405
107.91,107.91,16,2867,416.3861360549927,439383,0.9601762481033802,-0.14253658,0.02640172,0.0,-0.03210787,16.314735
119.61,119.61,18,2885,418.25907158851624,442268,0.8976230248808861,-0.14266491,0.021767262,0.0,-0.007963775,38.797653
121.04,121.04,10,2895,420.04571199417114,444209,0.9611703790724277,-0.14291424,0.008600518,0.0,-0.023794308,12.759258
130.69,130.69,10,2905,421.97887325286865,446118,0.8136338889598846,-0.14289004,0.007527707,0.0,-0.023380011,33.6102
